fichier;saison;competition;journee;date;domicile;exterieur;diffuseur;nom_cible;statut
Serie A 03-04 J31 Udinese-Milan Serie A 03-04(Sky).jpg;2003-2004;Serie A;31;;Udinese;Milan;Sky;;PARTIEL
Serie A 03-04 J32 MILAN-ROMA 02.05.2004 (Sky).jpg;2003-2004;Serie A;32;2004-05-02;Milan;Roma;Sky;2003-2004__serie-a__2004-05-02__milan__roma__sky.jpg;OK
Serie A 03-04 J34 MILAN - BRESCIA 16.05.2004 (Sky).jpg;2003-2004;Serie A;34;2004-05-16;Milan;Brescia;Sky;2003-2004__serie-a__2004-05-16__milan__brescia__sky.jpg;OK
Serie A 03-04 J4 Milan vs Lecce 28.09.2003 (Sky).jpg;2003-2004;Serie A;4;2003-09-28;Milan;Lecce;Sky;2003-2004__serie-a__2003-09-28__milan__lecce__sky.jpg;OK
Serie A 03-04 J5 INTER-MILAN 05.10.2003(Sky).jpg;2003-2004;Serie A;5;2003-10-05;Inter;Milan;Sky;2003-2004__serie-a__2003-10-05__inter__milan__sky.jpg;OK
Serie A 03-04 J6 Milan vs Lazio 19.10.2003 (Milan Channel).jpg;2003-2004;Serie A;6;2003-10-19;Milan;Lazio;Milan Channel;2003-2004__serie-a__2003-10-19__milan__lazio__milan-channel.jpg;OK
Serie A 03-04 J7 Sampdoria vs Milan 26.10.2003 (Sky).jpg;2003-2004;Serie A;7;2003-10-26;Sampdoria;Milan;Sky;2003-2004__serie-a__2003-10-26__sampdoria__milan__sky.jpg;OK
Serie A 03-04 J8 MILAN vs JUVENTUS 01.11.2003(FR Sport+).jpg;2003-2004;Serie A;8;2003-11-01;Milan;Juventus;FR Sport+;2003-2004__serie-a__2003-11-01__milan__juventus__fr-sportplus.jpg;OK
Serie A 03-04 J8 MILAN vs JUVENTUS.jpg;2003-2004;Serie A;8;;Milan;Juventus;;;PARTIEL
Serie.A.2003.2004.Empoli.Milan.ITA.twb22.jpg;2003-2004;Serie A;;;Empoli;Milan;;;PARTIEL
Serie.A.2003.2004.Juve.Inter.20031129.jpg;2003-2004;Serie A;;2003-11-29;Juventus;Inter;;2003-2004__serie-a__2003-11-29__juventus__inter.jpg;OK
Siena vs Milan (Serie A 03-04).jpg;2003-2004;Serie A;;;Siena;Milan;;;PARTIEL
